cas_num,com_id,com_nam,rep_typ,rep_yea,fin_amo,off,sta,dis,can_nam,lat_fil_not_fil,pai_yes_no,
"14","C00357970","COMMITTEE TO ELECT TONY FUSCO TO CONGRESS","Q2","2000","$2,025.00","H","NJ","08","FUSCO, ANTHONY J JR","L","Y",
"2607","C00506592","COMMITTEE TO ELECT WENDY ROSEN FOR CONGRESS","Q3","2012","$4,400.00","H","MD","01","ROSEN, WENDY W","N","Y",
"2619","C00506592","COMMITTEE TO ELECT WENDY ROSEN FOR CONGRESS","12G","2012","$112.00","H","MD","01","ROSEN, WENDY W","N","Y",
"2631","C00506592","COMMITTEE TO ELECT WENDY ROSEN FOR CONGRESS","30G","2012","$330.00","H","MD","01","ROSEN, WENDY W","N","Y",
"1376","C00394692","COMMITTEE TO ELECT WILLIAM (WILLIE) VADEN FOR CONGRESS","YE","2004","$500.00","H","TX","27","VADEN, WILLIAM ROSS","N","Y",
"1654","C00394692","COMMITTEE TO ELECT WILLIAM (WILLIE) VADEN FOR CONGRESS","30G","2006","$312.00","H","TX","27","VADEN, WILLIAM ROSS","N","Y",
"1303","C00389890","COMMITTEE TO RE-DEFEAT THE PRESIDENT","30G","2004","$480.00","","","","","L","Y",
"2034","C00418293","COMMITTEE TO RE-ELECT HENRY HANK JOHNSON","30G","2008","$2,700.00","H","GA","04","JOHNSON, HENRY C 'HANK'","N","Y",
"2153","C00418293","COMMITTEE TO RE-ELECT HENRY HANK JOHNSON","12P","2010","$4,562.00","H","GA","04","JOHNSON, HENRY C 'HANK'","L","Y",
"557","C00367110","COMMITTEE TO RE-ELECT TRENT FRANKS TO CONGRESS","YE","2001","$3,500.00","H","AZ","08","FRANKS, TRENT","N","Y",
"593","C00367110","COMMITTEE TO RE-ELECT TRENT FRANKS TO CONGRESS","Q1","2002","$700.00","H","AZ","08","FRANKS, TRENT","L","Y",
"887","C00372300","COMMITTEETO ELECT FRANK W BALLANCE JR","30G","2002",,"H","NC","01","BALLANCE, FRANK W JR","L","N",
"974","C00372300","COMMITTEETO ELECT FRANK W BALLANCE JR","YE","2002","$500.00","H","NC","01","BALLANCE, FRANK W JR","L","Y",
"2412","C00484691","COMMITTTEE TO ELECT GLENN WILSON FOR US CONGRESS","YE","2010","$2,970.00","H","MI","01","WILSON, GLENN A","N","P",
"2313","C00455600","COMMONWEALTH-ALTADIS, INC. EMPLOYEE PAC","12G","2010","$1,400.00","","","","","N","Y",
"2648","C00455600","COMMONWEALTH-ALTADIS, INC. EMPLOYEE PAC","12G","2012","$825.00","","","","","N","Y",
"1096","C00109595","COMMUNICATION WORKERS OF AMERICA LOCAL 13000","YE","2003","$4,550.00","","","","","L","Y",
"525","C00002089","COMMUNICATIONS WORKERS OF AMERICA-COPE POLITICAL CONTRIBUTIONS COMMITTEE","M8","2001","$4,550.00","","","","","L","Y",
"2649","C00383976","COMMUNITY ONCOLOGY ALLIANCE PAC","12G","2012","$550.00","","","","","N","Y",
"724","C00125534","COMPOSITION ROOFERS LOCAL UNION #30 POLITICAL ACTION & EDUCATION FUND","Q3","2002","$600.00","","","","","L","Y",
"941","C00125534","COMPOSITION ROOFERS LOCAL UNION #30 POLITICAL ACTION & EDUCATION FUND","30G","2002","$1,800.00","","","","","N","Y",
"1655","C00125534","COMPOSITION ROOFERS LOCAL UNION #30 POLITICAL ACTION & EDUCATION FUND","30G","2006","$2,250.00","","","","","L","Y",
"1800","C00125534","COMPOSITION ROOFERS LOCAL UNION #30 POLITICAL ACTION & EDUCATION FUND","Q1","2008","$1,312.00","","","","","L","Y",
"1656","C00111237","COMPRESSED AIR FREE AIR FOUNDATION TUNNEL CAISSON SUBWAY WORKERS POLITICAL ACTION FUND","30G","2006","$900.00","","","","","N","Y",
"1707","C00111237","COMPRESSED AIR FREE AIR FOUNDATION TUNNEL CAISSON SUBWAY WORKERS POLITICAL ACTION FUND","YE","2006","$125.00","","","","","L","Y",
"755","C00247544","CONDIT FOR CONGRESS","Q3","2002","$250.00","H","CA","18","CONDIT, GARY A","L","Y",
"50","C00147512","CONGRESSIONAL BLACK CAUCUS PAC","Q2","2000","$900.00","","","","","N","Y",
"850","C00147512","CONGRESSIONAL BLACK CAUCUS PAC","12G","2002","$2,500.00","","","","","N","Y",
"1016","C00147512","CONGRESSIONAL BLACK CAUCUS PAC","YE","2002","$1,312.00","","","","","L","Y",
"1131","C00147512","CONGRESSIONAL BLACK CAUCUS PAC","Q1","2004","$6,750.00","","","","","N","Y",
"1172","C00147512","CONGRESSIONAL BLACK CAUCUS PAC","Q2","2004","$1,575.00","","","","","N","Y",
"1202","C00147512","CONGRESSIONAL BLACK CAUCUS PAC","Q3","2004","$8,000.00","","","","","N","Y",
"1330","C00147512","CONGRESSIONAL BLACK CAUCUS PAC","30G","2004","$9,000.00","","","","","N","Y",
"1389","C00147512","CONGRESSIONAL BLACK CAUCUS PAC","YE","2004","$10,125.00","","","","","N","Y",
"1845","C00147512","CONGRESSIONAL BLACK CAUCUS PAC","Q2","2008","$5,862.00","","","","","L","Y",
"2577","C00504266","CONNECTICUT FOR PETER LUMAJ","Q3","2012","$250.00","S","CT","00","LUMAJ, PJERIN (PETER)","N","Y",
"1208","C00399477","CONNIE STOKES FOR CONGRESS.COM","Q3","2004","$3,200.00","H","GA","04","STOKES, CONNIE JEAN MS","L","Y",
"88","C00303503","CONSECO INC CONCERNED CITIZENS POLITICAL ACTION COMMITTEE (PAC)","M9","2000","$675.00","","","","","L","Y",
"458","C00010363","CONSERVATIVE LEADERSHIP POLITICAL ACTION COMMITTEE","YE","2000","$9,000.00","","","","","N","Y",
"631","C00010363","CONSERVATIVE LEADERSHIP POLITICAL ACTION COMMITTEE","Q1","2002","$11,250.00","","","","","N","Y",
"739","C00010363","CONSERVATIVE LEADERSHIP POLITICAL ACTION COMMITTEE","Q3","2002","$1,500.00","","","","","N","Y",
"2650","C00409458","CONSERVATIVE OPPORTUNITIES FOR A NEW AMERICA PAC","12G","2012","$990.00","","","","","N","Y",
"345","C00218172","CONSERVATIVE VICTORY COMMITTEE","12G","2000","$1,000.00","","","","","N","Y",
"1708","C00218172","CONSERVATIVE VICTORY COMMITTEE","YE","2006","$250.00","","","","","N","Y",
"2314","C00218172","CONSERVATIVE VICTORY COMMITTEE","12G","2010","$550.00","","","","","N","Y",
"1464","C00407635","CONSOLIDATED EDISON INC EMPLOYEES' POLITICAL ACTION COMMITTEE (CEIPAC)","Q1","2006","$900.00","","","","","N","Y",
"2315","C00407635","CONSOLIDATED EDISON INC EMPLOYEES' POLITICAL ACTION COMMITTEE (CEIPAC)","12G","2010","$660.00","","","","","N","Y",
"2356","C00407635","CONSOLIDATED EDISON INC EMPLOYEES' POLITICAL ACTION COMMITTEE (CEIPAC)","30G","2010","$145.00","","","","","L","Y",
"1465","C00304832","CONSTELLATION BRANDS INC POLITICAL ACTION COMMITTEE","Q1","2006","$300.00","","","","","N","Y",
"1613","C00304832","CONSTELLATION BRANDS INC POLITICAL ACTION COMMITTEE","12G","2006","$750.00","","","","","L","Y",
"2413","C00304832","CONSTELLATION BRANDS INC POLITICAL ACTION COMMITTEE","YE","2010","$550.00","","","","","N","Y",
"2884","C00279802","CONSTITUTION PARTY NATIONAL COMMITTEE","12G","2014","$660.00","","","","","N","Y",
"1336","C00324350","CONSTITUTIONAL PARTY OF PENNSYLVANIA","30G","2004","$500.00","","","","","N","Y",
"1892","C00030593","CONSUMER DATA INDUSTRY ASSOCIATION INC POLITICAL ACTION COMMITTEE OR CDIA PAC","Q3","2008","$600.00","","","","","N","Y",
"812","C00101766","CONTINENTAL AIRLINES INC EMPLOYEE FUND FOR A BETTER AMERICA PAC","12G","2002","$2,000.00","","","","","N","Y",
"1761","C00101766","CONTINENTAL AIRLINES INC EMPLOYEE FUND FOR A BETTER AMERICA PAC","M7","2007","$400.00","","","","","L","Y",
"2316","C00480228","CONTINUING AMERICA'S STRENGTH AND SECURITY PAC","12G","2010","$660.00","","","","","N","Y",
"2357","C00480228","CONTINUING AMERICA'S STRENGTH AND SECURITY PAC","30G","2010","$550.00","","","","","N","Y",
"1024","C00136853","CONTRA COSTA REPUBLICAN PARTY (FED)","YE","2002","$350.00","","","","","L","Y",
"1801","C00148783","CONTRAN CORPORATION POLITICAL ACTION COMMITTEE (CONPAC)","Q1","2008","$1,350.00","","","","","L","Y",
"2414","C00460766","CONWAY FOR SENATE","YE","2010","$4,950.00","S","KY","00","CONWAY, JOHN WILLIAM (JACK)","N","Y",
"609","C00317883","CONWOOD HOLDINGS INC. POLITICAL ACTION COMMITTEE (CONWOOD PAC)","Q1","2002",,"","","","","N","N",
"896","C00364182","COOKSEY FOR SENATE","30G","2002","$8,000.00","S","LA","00","COOKSEY, JOHN CHARLES","N","Y",
"1965","C00099937","COOPER INDUSTRIES PLC POLITICAL ACTION COMMITTEE","12G","2008","$170.00","","","","","L","Y",
"2162","C00468728","COREY DABNEY FOR THE UNITED STATES SENATE 2010","Q2","2010","$3,160.00","S","IL","00","DABNEY, COREY","L","Y",
"2358","C00357640","CORINTHIAN COLLEGES INC PAC","30G","2010","$550.00","","","","","N","Y",
"2415","C00357640","CORINTHIAN COLLEGES INC PAC","YE","2010","$550.00","","","","","N","Y",
"328","C00345496","CORIZON HEALTH, INC. POLITICAL ACTION COMMITTEE","12G","2000","$1,000.00","","","","","N","Y",
"2848","C00543173","CORRY WESTBROOK FOR CONGRESS","Q3","2014",,"H","FL","08","WESTBROOK, CORRY","N","N",
"2651","C00497131","CORY PAC, INC.","12G","2012","$990.00","","","","","N","Y",
"128","C00352435","COSGROVE FOR CONGRESS COMMITTEE","Q3","2000","$900.00","H","NC","05","COSGROVE, JOHN THOMAS","N","Y",
"1582","C00387555","COUNCIL FOR A LIVABLE WORLD CANDIDATE FUND","12G","2006","$1,400.00","","","","","N","Y",
"1658","C00387555","COUNCIL FOR A LIVABLE WORLD CANDIDATE FUND","30G","2006","$1,000.00","","","","","L","Y",
"1614","C00303818","COUNCIL FOR AFFORDABLE AND RURAL HOUSING PAC INC (CARH PAC)","12G","2006","$500.00","","","","","N","Y",
"1659","C00303818","COUNCIL FOR AFFORDABLE AND RURAL HOUSING PAC INC (CARH PAC)","30G","2006","$135.00","","","","","L","Y",
"1559","C00355818","COUNCIL OF SCHOOL SUPERVISORS AND ADMINISTRATORS LOCAL 1 AFSA AFL-CIO","Q3","2006","$900.00","","","","","L","Y",
"2201","C00355818","COUNCIL OF SCHOOL SUPERVISORS AND ADMINISTRATORS LOCAL 1 AFSA AFL-CIO","Q3","2010","$4,125.00","","","","","N","Y",
"215","C00282731","COUNTRYWIDE FINANCIAL CORPORATION PAC","12G","2000","$1,000.00","","","","","N","Y",
"839","C00282731","COUNTRYWIDE FINANCIAL CORPORATION PAC","12G","2002","$406.00","","","","","L","Y",
"220","C00217216","COVENTRY HEALTH CARE INC - FIRST HEALTH GROUP PAC","12G","2000",,"","","","","N","N",
"301","C00217216","COVENTRY HEALTH CARE INC - FIRST HEALTH GROUP PAC","30G","2000","$500.00","","","","","N","Y",
"2317","C00462630","COVINGTON AND BURLING LLP PAC","12G","2010","$990.00","","","","","N","Y",
"1151","C00386151","COWAN FOR US SENATE","Q2","2004","$250.00","S","KY","00","COWAN, FREDERIC J","N","Y",
"2056","C00420224","COX 2008 COMMITTEE INC","YE","2008","$10.00","P","US","00","COX, JOHN H","N","Y",
"636","C00364315","COX FOR US SENATE COMMITTEE INC","48H","2002","$22,150.00","S","IL","00","COX, JOHN H","N","Y",
"2812","C00540666","COYNE FOR CONGRESS 2014","12P","2014","$125.00","H","CA","24","COYNE, PAUL H JR","L","Y",
"1017","C00312777","COZEN O'CONNOR POLITICAL ACTION COMMITTEE","YE","2002","$700.00","","","","","L","Y",
"2516","C00498899","CRAIG MILLER FOR US SENATE INC","Q1","2012","$7,150.00","S","FL","00","MILLER, CRAIG S","N","Y",
"1288","C00398974","CRAIG ROMERO FOR CONGRESS INC.","30G","2004","$5,800.00","H","LA","03","ROMERO, CRAIG","L","Y",
"1357","C00399535","CRAVINS FOR CONGRESS","YE","2004","$3,500.00","H","LA","07","CRAVINS, DONALD RAY SR","N","N",
"333","C00248849","CROPLIFE AMERICA POLITICAL ACTION COMMITTEE","12G","2000","$1,000.00","","","","","N","Y",
"1583","C00248849","CROPLIFE AMERICA POLITICAL ACTION COMMITTEE","12G","2006","$160.00","","","","","L","Y",
"2673","C00451518","CROWE PAC","30G","2012","$140.00","","","","","L","Y",
"2885","C00147231","CROWLEY MARITIME CORPORATION FEDERAL PAC","12G","2014","$550.00","","","","","N","Y",
"1302","C00390153","CROWSON FOR CONGRESS","30G","2004","$500.00","H","WA","03","CROWSON, THOMAS A","N","N",
"2886","C00422501","CSL BEHRING EMPLOYEES POLITICAL ACTION COMMITTEE","12G","2014","$550.00","","","","","N","Y",
"206","C00163832","CSX CORPORATION GOOD GOVERNMENT FUND","12G","2000","$600.00","","","","","L","Y",
"2895","C00566919","CURT GOTTSHALL CAMPAIGN","30G","2014","$175.00","S","WY","00","GOTTSHALL, CURT","L","Y",
"964","C00256354","CYNTHIA MCKINNEY FOR CONGRESS","48H","2002","$7,050.00","H","GA","04","MCKINNEY, CYNTHIA A","N","Y",
"1846","C00256354","CYNTHIA MCKINNEY FOR CONGRESS","Q2","2008","$250.00","H","GA","04","MCKINNEY, CYNTHIA A","N","Y",
"1966","C00130187","DADE COUNTY FIRE FIGHTERS, LOCAL 1403 PAC","12G","2008","$600.00","","","","","N","Y",
"2001","C00130187","DADE COUNTY FIRE FIGHTERS, LOCAL 1403 PAC","30G","2008","$320.00","","","","","L","Y",
"1825","C00248864","DALLAS COUNTY DEMOCRATIC PARTY","M5","2008","$760.00","","","","","L","Y",
"2500","C00342857","DALLAS COUNTY REPUBLICAN PARTY - PRIMARY","M12","2011","$105.00","","","","","L","Y",
"998","C00369348","DAN BLUE SENATE COMMITTEE","YE","2002","$3,500.00","S","NC","00","BLUE, DANIEL JR","N","Y",
"2035","C00443614","DAN EAST FOR CONGRESS 2008","30G","2008","$750.00","H","NM","03","EAST, DANIEL K","L","Y",
"2057","C00443614","DAN EAST FOR CONGRESS 2008","YE","2008","$2,700.00","H","NM","03","EAST, DANIEL K","N","Y",
"2120","C00458760","DAN GELBER FOR SENATE","YE","2009",,"S","FL","00","GELBER, DANIEL","N","N",
"671","C00371500","DAN HAGOOD FOR CONGRESS, INC.","Q2","2002","$8,000.00","H","TX","05","HAGOOD, DANIEL K","N","Y",
"790","C00371500","DAN HAGOOD FOR CONGRESS, INC.","Q3","2002","$900.00","H","TX","05","HAGOOD, DANIEL K","N","Y",
"2578","C00506741","DAN HUGHES FOR SENATE","Q3","2012","$250.00","S","CA","00","HUGHES, DANIEL J","N","Y",
"2579","C00509471","DAN LILJENQUIST FOR US SENATE","Q3","2012",,"S","UT","00","LILJENQUIST, DAN","L","N",
"1528","C00393009","DANIEL MONGIARDO FOR US SENATE","48H","2004","$7,840.00","S","KY","00","MONGIARDO, DANIEL","N","Y",
"1104","C00390120","DANIEL WEBSTER FOR US SENATE","Q1","2004","$5,200.00","S","FL","00","WEBSTER, DANIEL","L","Y",
"103","C00264127","DANNER FOR CONGRESS","Q3","2000","$825.00","H","MO","06","DANNER, PAT","L","Y",
"2058","C00447029","DARIUS FOR CONGRESS","YE","2008","$140.00","H","NY","21","SHAHINFAR, DARIUS","L","Y",
"2540","C00511311","DAVE SITTON FOR CONGRESS","Q2","2012","$8,800.00","H","AZ","08","SITTON, DAVE","N","Y",
"383","C00343202","DAVE TREEN FOR CONGRESS","YE","2000","$250.00","H","LA","01","TREEN, DAVID CONNER","L","Y",
"413","C00343640","DAVID E DUKE CONGRESSIONAL CAMPAIGN FUND","YE","2000",,"H","LA","01","DUKE, DAVID ERNEST","N","N",
"1092","C00384628","DAVID LANGSTON FOR CONGRESS","YE","2003",,"H","TX","19","LANGSTON, DAVID","N","N",
"2775","C00553164","DAVID M ALAMEEL FOR UNITED STATES SENATE","YE","2013","$6,700.00","S","TX","00","ALAMEEL, DAVID M","L","Y",
"1541","C00415315","DAVID PFEFFER CAMPAIGN","Q3","2006","$100.00","S","NM","00","PFEFFER, JOHN DAVID ABELES","L","Y",
"2703","C00510495","DAVID SCHAPIRA FOR CONGRESS","YE","2012","$250.00","H","AZ","09","SCHAPIRA, DAVID","N","Y",
"1660","C00369801","DAVID SCOTT FOR CONGRESS","30G","2006","$3,800.00","H","GA","13","SCOTT, DAVID ALBERT","L","Y",
"851","C00340943","DAVITA HEALTHCARE PARTNERS, INC. POLITICAL ACTION COMMITTEE (DAPAC)","12G","2002","$1,000.00","","","","","N","Y",
"813","C00341271","DAY & ZIMMERMANN INC FEDERAL PAC (AKA 'DAYPAC - FEDERAL')","12G","2002","$1,000.00","","","","","N","Y",
"452","C00295964","DC DEMOCRATIC STATE COMMITTEE","YE","2000","$800.00","","","","","L","Y",
"2795","C00295964","DC DEMOCRATIC STATE COMMITTEE","Q1","2014","$1,090.00","","","","","N","Y",
"573","C00191288","DC REPUBLICAN PARTY FEDERAL ACCOUNT","YE","2001","$3,975.00","","","","","L","Y",
"2359","C00191288","DC REPUBLICAN PARTY FEDERAL ACCOUNT","30G","2010","$165.00","","","","","L","Y",
"2542","C00501072","DEAN YOUNG FOR CONGRESS COMMITTEE","Q2","2012","$330.00","H","AL","01","YOUNG, LARRY DEAN JR","N","Y",
"1884","C00444984","DECUIR FOR CONGRESS","48H","2008","$6,580.00","H","LA","06","DECUIR, JASON MAURICE","N","Y",
"2059","C00444984","DECUIR FOR CONGRESS","YE","2008",,"H","LA","06","DECUIR, JASON MAURICE","N","N",
"2133","C00463976","DEDE FOR CONGRESS INC","Q1","2010","$250.00","H","NY","23","SCOZZAFAVA, DIERDRE K","N","Y",
"2218","C00463976","DEDE FOR CONGRESS INC","Q3","2010",,"H","NY","23","SCOZZAFAVA, DIERDRE K","N","N",
"2481","C00463976","DEDE FOR CONGRESS INC","Q1","2011",,"H","NY","23","SCOZZAFAVA, DIERDRE K","N","N",
"2928","C00455741","DEEP BLUE PAC","30G","2014","$2,365.00","","","","","L","Y",
"394","C00215905","DEFAZIO FOR CONGRESS","YE","2000","$250.00","H","OR","04","DEFAZIO, PETER A","L","Y",
"576","C00170480","DEL WEBB CORPORATION EMPLOYEES FUND FOR BETTER GOVERNMENT - C00170480","YE","2001","$3,500.00","","","","","N","Y",
"710","C00368845","DELAY FOR CONGRESS","MY","2002","$275.00","H","AR","03","DELAY, ROBERT GUNNER","L","Y",
"981","C00368845","DELAY FOR CONGRESS","YE","2002","$3,500.00","H","AR","03","DELAY, ROBERT GUNNER","N","Y",
"1757","C00415422","DELECIA HOLT FOR CONGRESS COMMITTEE","Q2","2007",,"H","CA","53","HOLT, DELECIA ANN","N","N",
"1914","C00415422","DELECIA HOLT FOR CONGRESS COMMITTEE","Q3","2008",,"H","CA","53","HOLT, DELECIA ANN","N","N",
"1925","C00214304","DELHAIZE AMERICA, LLC POLITICAL ACTION COMMITTEE","M10","2008","$600.00","","","","","N","Y",
"1935","C00214304","DELHAIZE AMERICA, LLC POLITICAL ACTION COMMITTEE","12G","2008","$441.00","","","","","N","Y",
"2002","C00214304","DELHAIZE AMERICA, LLC POLITICAL ACTION COMMITTEE","30G","2008","$750.00","","","","","N","Y",
"92","C00104802","DELTA AIR LINES POLITICAL ACTION COMMITTEE","M9","2000",,"","","","","L","N",
"831","C00104802","DELTA AIR LINES POLITICAL ACTION COMMITTEE","12G","2002","$2,000.00","","","","","N","Y",
"201","C00326314","DEMINT FOR CONGRESS COMMITTEE","12G","2000","$1,000.00","H","SC","04","DEMINT, JAMES W","N","Y",
"1848","C00433821","DEMMER FOR CONGRESS","Q2","2008","$460.00","H","MN","01","DEMMER, RANDY LEE","L","Y",
"2796","C00468314","DEMOCRACY ENGINE, INC., PAC","Q1","2014","$4,950.00","","","","","N","Y",
"1849","C00381517","DEMOCRATIC ADVANCEMENT PAC","Q2","2008","$1,100.00","","","","","L","P",
"1893","C00381517","DEMOCRATIC ADVANCEMENT PAC","Q3","2008","$5,000.00","","","","","N","Y",
"2003","C00381517","DEMOCRATIC ADVANCEMENT PAC","30G","2008","$900.00","","","","","N","P",
"2060","C00381517","DEMOCRATIC ADVANCEMENT PAC","YE","2008","$500.00","","","","","N","N",
"2105","C00381517","DEMOCRATIC ADVANCEMENT PAC","MY","2009","$1,485.00","","","","","N","Y",
"2868","C00176420","DEMOCRATIC FOUNDATION OF ORANGE COUNTY","Q3","2014","$1,400.00","","","","","N","Y",
"2929","C00176420","DEMOCRATIC FOUNDATION OF ORANGE COUNTY","30G","2014","$1,090.00","","","","","N","N",
"688","C00321943","DEMOCRATIC PARTY OF ORANGE COUNTY FED PAC","Q2","2002","$900.00","","","","","N","Y",
"747","C00321943","DEMOCRATIC PARTY OF ORANGE COUNTY FED PAC","Q3","2002","$4,000.00","","","","","N","Y",
"881","C00321943","DEMOCRATIC PARTY OF ORANGE COUNTY FED PAC","12G","2002","$1,250.00","","","","","N","Y",
"1036","C00321943","DEMOCRATIC PARTY OF ORANGE COUNTY FED PAC","YE","2002","$1,125.00","","","","","N","Y",
"1320","C00321943","DEMOCRATIC PARTY OF ORANGE COUNTY FED PAC","30G","2004","$1,400.00","","","","","L","Y",
"2531","C00321943","DEMOCRATIC PARTY OF ORANGE COUNTY FED PAC","M5","2012","$200.00","","","","","L","Y",
"1287","C00373290","DENISE MAJETTE FOR SENATE","30G","2004",,"S","GA","00","MAJETTE, DENISE L","L","N",
"2185","C00465773","DEON LONG FOR CONGRESS","12P","2010","$4,400.00","H","FL","24","LONG, OMETRIAS DEON","N","N",
"2219","C00465773","DEON LONG FOR CONGRESS","Q3","2010","$3,850.00","H","FL","24","LONG, OMETRIAS DEON","N","N",
"2416","C00465773","DEON LONG FOR CONGRESS","YE","2010","$4,812.00","H","FL","24","LONG, OMETRIAS DEON","N","N",
"1743","C00427328","DERRICK SHEPHERD CAMPAIGN COMMITTEE","Q1","2007","$6,500.00","H","LA","02","SHEPHERD, DERRICK","N","N",
"1850","C00427328","DERRICK SHEPHERD CAMPAIGN COMMITTEE","Q2","2008",,"H","LA","02","SHEPHERD, DERRICK","N","N",
"112","C00348508","DEWAYNE GRAHAM FOR CONGRESS COMMITTEE","Q3","2000","$900.00","H","AR","04","GRAHAM, CECIL DEWAYNE","N","Y",
"400","C00348508","DEWAYNE GRAHAM FOR CONGRESS COMMITTEE","YE","2000",,"H","AR","04","GRAHAM, CECIL DEWAYNE","N","N",
"852","C00330258","DEWEY BALLANTINE LLP POLITICAL ACTION COMMITTEE","12G","2002","$1,000.00","","","","","N","Y",
"1307","C00034470","DIAGEO NORTH AMERICA, INC.  EMPLOYEES' POLITICAL PARTICIPATION COMMITTEE","30G","2004","$190.00","","","","","L","Y",
"1466","C00034470","DIAGEO NORTH AMERICA, INC.  EMPLOYEES' POLITICAL PARTICIPATION COMMITTEE","Q1","2006","$225.00","","","","","L","Y",
"23","C00198309","DICK ARMEY CAMPAIGN COMMITTEE","Q2","2000","$2,700.00","H","TX","26","ARMEY, RICHARD K","L","Y",
"771","C00198309","DICK ARMEY CAMPAIGN COMMITTEE","Q3","2002","$1,750.00","H","TX","26","ARMEY, RICHARD K","L","Y",
"2220","C00460220","DICK KELSEY FOR CONGRESS","Q3","2010",,"H","KS","04","KELSEY, RICHARD FRANKLIN","N","N",
"1802","C00440172","DICK VERSACE FOR CONGRESS","Q1","2008","$2,700.00","H","IL","18","VERSACE, RICHARD","N","Y",
"1851","C00440172","DICK VERSACE FOR CONGRESS","Q2","2008",,"H","IL","18","VERSACE, RICHARD","N","N",
"401","C00267997","DICKEY FOR CONGRESS CAMPAIGN COMMITTEE","YE","2000","$2,700.00","H","AR","04","DICKEY, JAY W JR","N","Y",
"909","C00110197","DICKSTEIN SHAPIRO LLP PAC","30G","2002","$275.00","","","","","L","Y",
"788","C00367276","DIEDRICH FOR CONGRESS","Q3","2002","$900.00","H","SD","00","DIEDRICH, LARRY WILLIAM","N","Y",
"1403","C00367276","DIEDRICH FOR CONGRESS","Q1","2005","$1,125.00","H","SD","00","DIEDRICH, LARRY WILLIAM","N","Y",
"425","C00360743","DINIZIO 2000","YE","2000","$1,800.00","S","NJ","00","DINIZIO, PATRICK M","N","Y",
"1308","C00078535","DIRECT SELLING ASSOCIATION POLITICAL ACTION COMMITTEE","30G","2004","$135.00","","","","","L","Y",
"2318","C00078535","DIRECT SELLING ASSOCIATION POLITICAL ACTION COMMITTEE","12G","2010","$660.00","","","","","N","Y",
"272","C00030734","DISTILLED SPIRITS COUNCIL OF THE UNITED STATES INC POLITICAL ACTION COMMITTEE","30G","2000","$750.00","","","","","L","Y",
"346","C00030734","DISTILLED SPIRITS COUNCIL OF THE UNITED STATES INC POLITICAL ACTION COMMITTEE","12G","2000","$1,000.00","","","","","N","Y",
"942","C00030734","DISTILLED SPIRITS COUNCIL OF THE UNITED STATES INC POLITICAL ACTION COMMITTEE","30G","2002","$2,700.00","","","","","N","Y",
"470","C00149211","DISTRICT COUNCIL 37, AFSCME PUBLIC EMPLOYEES ORGANIZED FOR POL & LEG EQUALITY (DC37PEOPLE)","M2","2001",,"","","","","L","N",
"814","C00149211","DISTRICT COUNCIL 37, AFSCME PUBLIC EMPLOYEES ORGANIZED FOR POL & LEG EQUALITY (DC37PEOPLE)","12G","2002","$3,000.00","","","","","N","Y",
"475","C00279380","DISTRICT NO. 1-PCD, MARINE ENGINEERS' BENEFICIAL ASSOC. - POLITICAL ACTION FUND (MEBA-PAF)","M4","2001","$1,000.00","","","","","L","Y",
"1572","C00279380","DISTRICT NO. 1-PCD, MARINE ENGINEERS' BENEFICIAL ASSOC. - POLITICAL ACTION FUND (MEBA-PAF)","M10","2006","$900.00","","","","","L","Y",
"1584","C00279380","DISTRICT NO. 1-PCD, MARINE ENGINEERS' BENEFICIAL ASSOC. - POLITICAL ACTION FUND (MEBA-PAF)","12G","2006","$1,400.00","","","","","N","Y",
"2570","C00441451","DJOU FOR HAWAII","48H","2010","$6,720.00","H","HI","01","DJOU, CHARLES K","N","Y",
"2896","C00548453","DOC MOYLAN GOES TO WASHINGTON ELECTION COMMITTEE","30G","2014","$550.00","H","PA","17","MOYLAN, DAVID JOHN III MD","N","N",
"2637","C00462853","DOHENY FOR CONGRESS","48H","2012","$20,110.00","H","NY","21","DOHENY, MATTHEW A","N","Y",
"1585","C00341552","DOLLAR THRIFTY AUTOMOTIVE GROUP INC PAC (DTAG PAC)","12G","2006","$500.00","","","","","N","Y",
"705","C00320754","DONNA CHRISTENSEN CAMPAIGN","12P","2002","$1,000.00","H","VI","00","CHRISTENSEN, DONNA M","N","Y",
"721","C00320754","DONNA CHRISTENSEN CAMPAIGN","Q3","2002","$1,000.00","H","VI","00","CHRISTENSEN, DONNA M","N","Y",
"806","C00320754","DONNA CHRISTENSEN CAMPAIGN","12G","2002","$1,250.00","H","VI","00","CHRISTENSEN, DONNA M","N","Y",
"382","C00350561","DONNELLEY FOR CONGRESS INC","YE","2000","$1,650.00","H","IL","10","DONNELLEY, SHAWN MARGARET","L","Y",
"990","C00371005","DONZELLA J JAMES FOR CONGRESS","YE","2002","$900.00","H","GA","13","JAMES, DONZELLA J","N","Y",
"1542","C00424978","DONZELLA JAMES FOR US CONGRESS CAMPAIGN 2006","Q3","2006","$500.00","H","GA","13","JAMES, DONZELLA J","N","Y",
"1710","C00424978","DONZELLA JAMES FOR US CONGRESS CAMPAIGN 2006","YE","2006","$312.00","H","GA","13","JAMES, DONZELLA J","N","Y",
"1744","C00424978","DONZELLA JAMES FOR US CONGRESS CAMPAIGN 2006","Q1","2007",,"H","GA","13","JAMES, DONZELLA J","N","N",
